x y z
0.727788 -0.485192 0.005000
0.970384 -0.485192 0.005000
1.212980 -0.485192 0.005000
1.455576 -0.485192 0.005000
1.698171 -0.485192 0.005000
-1.698171 -0.242596 0.005000
-1.455576 -0.242596 0.005000
-1.212980 -0.242596 0.005000
-0.970384 -0.242596 0.005000
-0.727788 -0.242596 0.005000
-0.485192 -0.242596 0.005000
-0.242596 -0.242596 0.005000
0.000000 -0.242596 0.005000
0.242596 -0.242596 0.005000
0.485192 -0.242596 0.005000
0.727788 -0.242596 0.005000
0.970384 -0.242596 0.005000
1.212980 -0.242596 0.005000
1.455576 -0.242596 0.005000
1.698171 -0.242596 0.005000
-1.698171 0.000000 0.005000
-1.455576 0.000000 0.005000
-1.212980 0.000000 0.005000
-0.970384 0.000000 0.005000
-0.727788 0.000000 0.005000
-0.485192 0.000000 0.005000
-0.242596 0.000000 0.005000
0.000000 0.000000 0.005000
0.242596 0.000000 0.005000
0.485192 0.000000 0.005000
0.727788 0.000000 0.005000
0.970384 0.000000 0.005000
1.212980 0.000000 0.005000
1.455576 0.000000 0.005000
1.698171 0.000000 0.005000
-1.698171 0.242596 0.005000
-1.455576 0.242596 0.005000
-1.212980 0.242596 0.005000
-0.970384 0.242596 0.005000
-0.727788 0.242596 0.005000
-0.485192 0.242596 0.005000
-0.242596 0.242596 0.005000
0.000000 0.242596 0.005000
0.242596 0.242596 0.005000
0.485192 0.242596 0.005000
0.727788 0.242596 0.005000
0.970384 0.242596 0.005000
1.212980 0.242596 0.005000
1.455576 0.242596 0.005000
1.698171 0.242596 0.005000
-1.698171 0.485192 0.005000
-1.455576 0.485192 0.005000
-1.212980 0.485192 0.005000
-0.970384 0.485192 0.005000
-0.727788 0.485192 0.005000
-0.485192 0.485192 0.005000
-0.242596 0.485192 0.005000
0.000000 0.485192 0.005000
0.242596 0.485192 0.005000
0.485192 0.485192 0.005000
0.727788 0.485192 0.005000
0.970384 0.485192 0.005000
1.212980 0.485192 0.005000
1.455576 0.485192 0.005000
1.698171 0.485192 0.005000
-1.698171 0.727788 0.005000
-1.455576 0.727788 0.005000
-1.212980 0.727788 0.005000
-0.970384 0.727788 0.005000
-0.727788 0.727788 0.005000
-0.485192 0.727788 0.005000
-0.242596 0.727788 0.005000
0.000000 0.727788 0.005000
0.242596 0.727788 0.005000
0.485192 0.727788 0.005000
0.727788 0.727788 0.005000
0.970384 0.727788 0.005000
1.212980 0.727788 0.005000
1.455576 0.727788 0.005000
1.698171 0.727788 0.005000
-1.698171 0.970384 0.005000
-1.455576 0.970384 0.005000
-1.212980 0.970384 0.005000
-0.970384 0.970384 0.005000
-0.727788 0.970384 0.005000
-0.485192 0.970384 0.005000
-0.242596 0.970384 0.005000
0.000000 0.970384 0.005000
0.242596 0.970384 0.005000
0.485192 0.970384 0.005000
0.727788 0.970384 0.005000
0.970384 0.970384 0.005000
1.212980 0.970384 0.005000
1.455576 0.970384 0.005000
1.698171 0.970384 0.005000
-1.698171 1.212980 0.005000
-1.455576 1.212980 0.005000
-1.212980 1.212980 0.005000
-0.970384 1.212980 0.005000
-0.727788 1.212980 0.005000
-0.485192 1.212980 0.005000
-0.242596 1.212980 0.005000
0.000000 1.212980 0.005000
0.242596 1.212980 0.005000
0.485192 1.212980 0.005000
0.727788 1.212980 0.005000
0.970384 1.212980 0.005000
1.212980 1.212980 0.005000
1.455576 1.212980 0.005000
1.698171 1.212980 0.005000
-1.698171 1.455576 0.005000
-1.455576 1.455576 0.005000
-1.212980 1.455576 0.005000
-0.970384 1.455576 0.005000
-0.727788 1.455576 0.005000
-0.485192 1.455576 0.005000
-0.242596 1.455576 0.005000
0.000000 1.455576 0.005000
0.242596 1.455576 0.005000
0.485192 1.455576 0.005000
0.727788 1.455576 0.005000
0.970384 1.455576 0.005000
1.212980 1.455576 0.005000
1.455576 1.455576 0.005000
1.698171 1.455576 0.005000
-1.698171 1.698171 0.005000
-1.455576 1.698171 0.005000
-1.212980 1.698171 0.005000
-0.970384 1.698171 0.005000
-0.727788 1.698171 0.005000
-0.485192 1.698171 0.005000
-0.242596 1.698171 0.005000
0.000000 1.698171 0.005000
0.242596 1.698171 0.005000
0.485192 1.698171 0.005000
0.727788 1.698171 0.005000
0.970384 1.698171 0.005000
1.212980 1.698171 0.005000
1.455576 1.698171 0.005000
1.698171 1.698171 0.005000
